,line_urn,heat,heat_scaled
33188,urn:cts:greekLit:tlg0085.tlg004.perseus-grc2:182,-8.361058175507479,-3.3065118006742167
23431,urn:cts:greekLit:tlg0006.tlg016.perseus-grc2:532,-8.360335193995548,-3.306225886277894
20841,urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:583,-8.359037815458734,-3.305712817554789
31807,urn:cts:greekLit:tlg0006.tlg015.perseus-grc2:593,-8.358923930680861,-3.3056677800303453
13983,urn:cts:greekLit:tlg0006.tlg017.perseus-grc2:1145,-8.358923930680861,-3.3056677800303453
14984,urn:cts:greekLit:tlg0085.tlg003.perseus-grc2:735,-8.357874388879713,-3.3052527222376646
28367,urn:cts:greekLit:tlg0006.tlg005.perseus-grc2:1219,-8.357136453054897,-3.3049608939233925
3850,urn:cts:greekLit:tlg0006.tlg018.perseus-grc2:888,-8.35682461364604,-3.3048375721304257
30074,urn:cts:greekLit:tlg0006.tlg011.perseus-grc2:208,-8.35516636466608,-3.304181791521608
8944,urn:cts:greekLit:tlg0011.tlg007.perseus-grc2:255,-8.35307050597599,-3.3033529512784403
28827,urn:cts:greekLit:tlg0011.tlg001.perseus-grc2:226,-8.35289138649944,-3.303282115667623
13161,urn:cts:greekLit:tlg0006.tlg017.perseus-grc2:331,-8.352317166618949,-3.3030550313953726
42179,urn:cts:greekLit:tlg0006.tlg014.perseus-grc2:488,-8.351980476216317,-3.3029218818865296
35008,urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:941,-8.351211465641162,-3.3026177645740775
32440,urn:cts:greekLit:tlg0006.tlg015.perseus-grc2:1187,-8.350412910343934,-3.3023019633371584
19304,urn:cts:greekLit:tlg0006.tlg019.perseus-grc2:38,-8.350140887196353,-3.302194387510194
27952,urn:cts:greekLit:tlg0006.tlg005.perseus-grc2:796,-8.349060766112984,-3.3017672366599844
16055,urn:cts:greekLit:tlg0006.tlg012.perseus-grc2:698,-8.345618911489154,-3.300406101180359
43950,urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:577,-8.345185673506288,-3.3002347704142307
30778,urn:cts:greekLit:tlg0006.tlg011.perseus-grc2:909,-8.345044407289867,-3.3001789044697745
14954,urn:cts:greekLit:tlg0085.tlg003.perseus-grc2:705,-8.345044407289867,-3.3001789044697745
2994,urn:cts:greekLit:tlg0006.tlg018.perseus-grc2:88,-8.344852109310022,-3.3001028572128055
20509,urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:244,-8.343519907816892,-3.299576017204586
21729,urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:1468,-8.343247892045323,-3.2994684442945803
25003,urn:cts:greekLit:tlg0006.tlg009.perseus-grc2:337,-8.343150211080157,-3.2994298148224206
32858,urn:cts:greekLit:tlg0006.tlg015.perseus-grc2:1602,-8.34236614787982,-3.2991197447128755
6679,urn:cts:greekLit:tlg0006.tlg007.perseus-grc2:691,-8.341437953814182,-3.2987526757884735
7513,urn:cts:greekLit:tlg0006.tlg003.perseus-grc2:236,-8.341388096086758,-3.2987329587669407
34948,urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:881,-8.34006854454275,-3.298211121379821
15446,urn:cts:greekLit:tlg0006.tlg012.perseus-grc2:101,-8.339499316978255,-3.2979860113973567
39320,urn:cts:greekLit:tlg0085.tlg001.perseus-grc2:225,-8.339270364122868,-3.297895468394038
4315,urn:cts:greekLit:tlg0006.tlg018.perseus-grc2:1347,-8.338123964445295,-3.2974421066325696
19670,urn:cts:greekLit:tlg0006.tlg019.perseus-grc2:405,-8.337718367197795,-3.2972817068294553
10586,urn:cts:greekLit:tlg0006.tlg008.perseus-grc2:86,-8.337668509470372,-3.297261989807923
33488,urn:cts:greekLit:tlg0085.tlg004.perseus-grc2:481,-8.337391516402272,-3.297152448547816
12768,urn:cts:greekLit:tlg0085.tlg006.perseus-grc2:1017,-8.336983603464802,-3.296991132968725
10851,urn:cts:greekLit:tlg0006.tlg008.perseus-grc2:347,-8.336962294971313,-3.2969827061902364
3523,urn:cts:greekLit:tlg0006.tlg018.perseus-grc2:565,-8.33654120402478,-3.2968161791604462
43309,urn:cts:greekLit:tlg0006.tlg014.perseus-grc2:1609,-8.33541251123276,-3.296369819865031
36236,urn:cts:greekLit:tlg0006.tlg001.perseus-grc2:634,-8.335018647801277,-3.2962140603837886
35256,urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:1199,-8.334421356198813,-3.295977852036647
13474,urn:cts:greekLit:tlg0006.tlg017.perseus-grc2:641,-8.333840465636662,-3.295748129738544
7851,urn:cts:greekLit:tlg0006.tlg003.perseus-grc2:580,-8.333523903030898,-3.2956229400831627
6634,urn:cts:greekLit:tlg0006.tlg007.perseus-grc2:642,-8.332994146591862,-3.2954134395773194
41450,urn:cts:greekLit:tlg0085.tlg005.perseus-grc2:1448,-8.332804352395366,-3.295338382480808
43321,urn:cts:greekLit:tlg0006.tlg014.perseus-grc2:1621,-8.332657146372028,-3.295280167546397
2624,urn:cts:greekLit:tlg0085.tlg002.perseus-grc2:739,-8.332351742584695,-3.2951593908210604
18320,urn:cts:greekLit:tlg0011.tlg002.perseus-grc2:322,-8.332306524082561,-3.295141508454047
36772,urn:cts:greekLit:tlg0006.tlg004.perseus-grc2:443,-8.331894848012526,-3.2949787046850676
12151,urn:cts:greekLit:tlg0085.tlg006.perseus-grc2:400,-8.331818645070607,-3.294948569034602
28971,urn:cts:greekLit:tlg0011.tlg001.perseus-grc2:370,-8.331078726427897,-3.2946559565838447
42222,urn:cts:greekLit:tlg0006.tlg014.perseus-grc2:531,-8.329148864747985,-3.2938927624660246
43931,urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:558,-8.328657836433518,-3.293698577605428
44455,urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:1096,-8.328177429875259,-3.293508593285183
32517,urn:cts:greekLit:tlg0006.tlg015.perseus-grc2:1264,-8.32746165430952,-3.2932255285934806
10511,urn:cts:greekLit:tlg0006.tlg008.perseus-grc2:13,-8.327362747229866,-3.2931864142350853
26687,urn:cts:greekLit:tlg0085.tlg007.perseus-grc2:568,-8.325933767278217,-3.292621301665136
15949,urn:cts:greekLit:tlg0006.tlg012.perseus-grc2:592,-8.325909563924508,-3.2926117300686975
42558,urn:cts:greekLit:tlg0006.tlg014.perseus-grc2:866,-8.32502374234755,-3.2922614180105803
21332,urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:1072,-8.324146289652251,-3.2919144155581828
24958,urn:cts:greekLit:tlg0006.tlg009.perseus-grc2:292,-8.32363879961212,-3.291713720649572
34377,urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:294,-8.323384223655898,-3.291613044588511
23107,urn:cts:greekLit:tlg0006.tlg016.perseus-grc2:209,-8.322903281412655,-3.291422848423223
25250,urn:cts:greekLit:tlg0006.tlg009.perseus-grc2:578,-8.322754114360837,-3.2913638579692934
16474,urn:cts:greekLit:tlg0006.tlg012.perseus-grc2:1112,-8.321843664456942,-3.291003806252398
7811,urn:cts:greekLit:tlg0006.tlg003.perseus-grc2:540,-8.32124352999429,-3.2907664736515363
36512,urn:cts:greekLit:tlg0006.tlg004.perseus-grc2:184,-8.320986009510435,-3.2906646331307665
11381,urn:cts:greekLit:tlg0006.tlg008.perseus-grc2:870,-8.320287924046673,-3.290388564267788
12847,urn:cts:greekLit:tlg0006.tlg017.perseus-grc2:18,-8.319531883053713,-3.290089575980356
25380,urn:cts:greekLit:tlg0006.tlg009.perseus-grc2:709,-8.314898040339537,-3.288257050085276
12753,urn:cts:greekLit:tlg0085.tlg006.perseus-grc2:1003,-8.314785846892688,-3.2882126814242545
5345,urn:cts:greekLit:tlg0011.tlg003.perseus-grc2:753,-8.313619324145911,-3.287751361678954
9361,urn:cts:greekLit:tlg0011.tlg007.perseus-grc2:651,-8.312704853450953,-3.287389719877069
895,urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:913,-8.311555450711637,-3.28693517050766
818,urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:823,-8.311436155804468,-3.2868879934625976
31090,urn:cts:greekLit:tlg0006.tlg011.perseus-grc2:1221,-8.310616437420004,-3.286563822950377
9803,urn:cts:greekLit:tlg0011.tlg007.perseus-grc2:1077,-8.310532271143588,-3.2865305380741865
21847,urn:cts:greekLit:tlg0006.tlg002.perseus-grc2:113,-8.310135552582652,-3.286373649487151
35042,urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:975,-8.309330289604684,-3.2860551955925117
5105,urn:cts:greekLit:tlg0011.tlg003.perseus-grc2:500,-8.309034311253097,-3.285938146303806
23695,urn:cts:greekLit:tlg0006.tlg016.perseus-grc2:785,-8.30802596189222,-3.2855393787087293
21268,urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:1008,-8.307865404048115,-3.28547588358705
30915,urn:cts:greekLit:tlg0006.tlg011.perseus-grc2:1044,-8.30685479254219,-3.2850762213911775
3332,urn:cts:greekLit:tlg0006.tlg018.perseus-grc2:376,-8.306537277127887,-3.284950654932693
41965,urn:cts:greekLit:tlg0006.tlg014.perseus-grc2:277,-8.306319092242717,-3.2848643702923512
35228,urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:1171,-8.305143847691028,-3.284399601372286
10222,urn:cts:greekLit:tlg0011.tlg007.perseus-grc2:1509,-8.305003741317199,-3.284344194105802
8590,urn:cts:greekLit:tlg0006.tlg003.perseus-grc2:1329,-8.304785368766609,-3.284257835250223
30046,urn:cts:greekLit:tlg0006.tlg011.perseus-grc2:185,-8.304678513119596,-3.2842155775059996
37809,urn:cts:greekLit:tlg0006.tlg010.perseus-grc2:396,-8.304272270497037,-3.28405492247918
40561,urn:cts:greekLit:tlg0085.tlg005.perseus-grc2:547,-8.30399038546973,-3.283943446616955
10236,urn:cts:greekLit:tlg0011.tlg007.perseus-grc2:1523,-8.30375340605726,-3.2838497293855466
27247,urn:cts:greekLit:tlg0006.tlg005.perseus-grc2:90,-8.302960317422963,-3.2835360900263613
43293,urn:cts:greekLit:tlg0006.tlg014.perseus-grc2:1593,-8.302944249053517,-3.2835297355372433
28482,urn:cts:greekLit:tlg0006.tlg005.perseus-grc2:1334,-8.302802102091567,-3.283473521288131
34176,urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:83,-8.29965920555187,-3.2822306134792556
18174,urn:cts:greekLit:tlg0011.tlg002.perseus-grc2:176,-8.299143069822234,-3.282026499496914
37144,urn:cts:greekLit:tlg0006.tlg004.perseus-grc2:809,-8.298937872288672,-3.2819453509087864
